,Entity,end_char,label,start_char,text,Target
0,Rohit,10,PERSON,5,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
2,2,77,CARDINAL,75,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
3,Taj Gateway Ganges,114,ORG,96,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
4,24/26,125,CARDINAL,120,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
5,Dec-18,139,DATE,126,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
6,two nights,154,DATE,144,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
7,Agnes,8,PERSON,3,"Hi Agnes,   I have not received a response to this email as yet.",TRUE
9,Hotel/Resort,102,FAC,90,"As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department ",TRUE
10,TEHP/18/12809,160,ORG,147,"As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department ",TRUE
11,Arun Gadamshetty P,186,PERSON,168,"As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department ",TRUE
12,153021,199,CARDINAL,193,"As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department ",TRUE
13,Department : Spares Manufacturing Department,244,ORG,200,"As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department ",TRUE
14,Vivanta,39,GPE,32,"Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check",TRUE
15,Taj - Madikeri,57,ORG,43,"Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check",TRUE
16,Coorg,63,GPE,58,"Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check",TRUE
17,Coorg Room Type,80,ORG,65,"Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check",TRUE
18,10-Dec-18,26,DATE,15,In Date-Time : 10 Dec 2018 02:00 PM Check Out,TRUE
19,12-Dec-18,23,DATE,12,Date-Time : 12 Dec 2018 12:00 PM ,TRUE
20,12:00 PM,32,TIME,24,Date-Time : 12 Dec 2018 12:00 PM ,TRUE
21,1,15,CARDINAL,14,No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  ,TRUE
22,Honeymoon,53,GPE,44,No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  ,TRUE
23,  Traveller,70,ORG,59,No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  ,TRUE
